"labels","PM10_cum","PM2.5_cum","SO2_cum","NO2_cum","O3_cum","CO_cum","NH4_cum","SO4_cum","Cl_cum","NO3_cum","temp_cum","lrad","shum","wind","prec","pres","srad","jieqi"
1,76.9857155936105,49.5285726274763,30.7000007629395,61.4125008583069,56.2000021934509,1.5,6.87999963760376,11.3000001907349,3.03999996185303,13.5099992752075,283.8075,348,0.00509,1.7219963,0.005001068,101372,51.75,"None"
1,76.9857155936105,49.5285726274763,30.7000007629395,61.4125008583069,56.2000021934509,1.5,6.87999963760376,11.3000001907349,3.03999996185303,13.5099992752075,283.8075,348,0.00509,1.7219963,0.005001068,101372,51.75,"None"
1,76.9857155936105,49.5285726274763,30.7000007629395,61.4125008583069,56.2000021934509,1.5,6.87999963760376,11.3000001907349,3.03999996185303,13.5099992752075,283.8075,348,0.00509,1.7219963,0.005001068,101372,51.75,"None"
1,79.6000017438616,50.8571444920131,27.4500007629395,61.6500000953674,65.8500022888184,1.57499998807907,8.91999983787537,12.1849999427795,2.92999994754791,17.614999294281,283.7675,336.25,0.0058900006,3.5299988,0.0025024414,101372,117.75,"立秋"
0,90.3857149396624,66.7571427481515,15.5000001362392,62.875,73.875,1.15714281797409,8.37142848968506,14.2699997765677,2.10142850875854,14.2471426555089,284.8075,343,0.004823001,5.381996,0.005001068,101372,54.25,"None"
1,90.3857149396624,66.7571427481515,15.5000001362392,62.875,73.875,1.15714281797409,8.37142848968506,14.2699997765677,2.10142850875854,14.2471426555089,284.8075,343,0.004823001,5.381996,0.005001068,101372,54.25,"小寒"
0,90.3857149396624,66.7571427481515,15.5000001362392,62.875,73.875,1.15714281797409,8.37142848968506,14.2699997765677,2.10142850875854,14.2471426555089,284.8075,343,0.004823001,5.381996,0.005001068,101372,54.25,"None"
0,90.3857149396624,66.7571427481515,15.5000001362392,62.875,73.875,1.15714281797409,8.37142848968506,14.2699997765677,2.10142850875854,14.2471426555089,284.8075,343,0.004823001,5.381996,0.005001068,101372,54.25,"None"
0,90.3857149396624,66.7571427481515,15.5000001362392,62.875,73.875,1.15714281797409,8.37142848968506,14.2699997765677,2.10142850875854,14.2471426555089,284.8075,343,0.004823001,5.381996,0.005001068,101372,54.25,"None"
0,90.3857149396624,66.7571427481515,15.5000001362392,62.875,73.875,1.15714281797409,8.37142848968506,14.2699997765677,2.10142850875854,14.2471426555089,284.8075,343,0.004823001,5.381996,0.005001068,101372,54.25,"None"
